,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
387,Harvard University,,34800,1.21,2020,,,"$34,800",,,,
388,Harvard University,population health sciences epidemiology,30500,1.06,2020,1st,have to ta 1 class one time over full program for the stipend,,"$30,500",,,population health sciences epidemiology
389,Tufts University,computer science,30000,1.07,2020,1st,,,"$30,000",,,computer science
390,Boston University,english,29500,1.03,2020,6th and up,"24,500 for term,<br>and 5,000 for summer,<br>guaranteed for 5 years,<br>no service in first or fifth years.<br> <span class=""truncated""> Almost always possible for a 6th,<br>and many get a 7th funded year.<br></span>",,"$24,500","$5,000",,english
391,MIT,sloan,45000,1.61,2020,1st,,"$45,000",,,,sloan
392,MIT,urban studies and planning,33000,1.18,2020,1st,,,"$33,000",,,urban studies and planning
393,Harvard University,biological sciences in public health,40560,1.42,2020,1st,Gross Pay is before Taxes.<br>so After taxes roughly 2918 per month,"$40,560",,,,biological sciences in public health
394,Harvard University,math,26000,0.91,2020,,,"$30,000",,,"$4,000",math
395,Boston University,chemistry,36000,1.26,2020,1st,,"$36,000",,,,chemistry
396,MIT,political science,36500,1.31,2020,1st,"Students are guaranteed a summer RAship for their first summer,<br>but have to arrange their own <span class=""truncated""> RAships/outside funding for subsequent summers.<br>Health insurance is included.</span>",,"$30,000","$6,500",,political science
397,MIT,department of urban studies and planning,40560,1.45,2020,2nd,"In Fall 2020,<br>dept transitioned from 9-month stipend to 12-month stipend with a 5-year funding <span class=""truncated""> guarantee.<br>MIT waived $370 activity fee in 2020-21 only.<br></span>","$40,560",,,,department of urban studies and planning
398,Boston University,mathematics,36782,1.28,2020,1st,,"$36,782",,,,mathematics
399,Boston University,bioinformatics,39474,1.38,2020,4th,,"$39,474",,,,bioinformatics
400,Northeastern University,chemical engineering,34800,1.21,2020,1st,,"$34,800",,,,chemical engineering
401,Northeastern University,computer,39200,1.37,2020,1st,,"$40,000",,,$800,computer
402,Tufts University,biology/phd,33970,1.22,2020,2nd,"have basic healthcare included without extra cost and access to student health center for basic <span class=""truncated""> needs</span>","$34,000",,,$30,biology/phd
403,Harvard University,,37000,1.29,2020,1st,,"$37,000",,,,
404,Harvard University,statistics,36650,1.28,2020,2nd,,"$36,675",,,$25,statistics
405,MIT,management,47000,1.68,2020,,,"$47,000",,,,management
406,Harvard University,,32500,1.13,2020,1st,,,"$32,500",,,
407,Boston University,epidemiology,36000,1.26,2020,,,"$36,000",,,,epidemiology
408,Harvard University,biological and biomedical sciences,40000,1.4,2020,4th,,"$40,000",,,,biological and biomedical sciences
409,Tufts University,neuroscience,52704,1.89,2020,1st,,"$52,704",,,,neuroscience
410,Northeastern University,civil and environmental engineering,35220,1.23,2020,1st,"Student fees are $130 per semester,<br>health fees are $225 per annum.","$35,220",,,,civil and environmental engineering
411,Boston University,chemistry,35000,1.22,2020,,,"$35,000",,,,chemistry
412,UMass Boston,molecular biology,23500,0.82,2020,2nd,,,"$20,000","$6,500","$3,000",molecular biology
413,Harvard University,organizational behavior,43680,1.52,2021,2nd,,"$43,680",,,,organizational behavior
414,Harvard University,health policy,32088,1.12,2021,5th,"We receive a stipend years 1,<br>2 and 5 (or 6,<br>depending on when you defend your PhD).<br>No funding in <span class=""truncated""> years 3 and 4.<br>No teaching or RA top-ups,<br>no summer funding.<br></span>",,"$32,088",,,health policy
415,MIT,economics,39000,1.4,2021,1st,"On GRFP.<br>In years without GRFP,<br>receive 35,000.<br>Includes healthcare.<br>","$39,000",,,,economics
416,Harvard University,virology,40019,1.4,2021,4th,,"$40,044",,,$25,virology
417,Harvard University,government,36850,1.29,2021,1st,"I have additional fellowship awards which provide me with summer funding and a research time <span class=""truncated""> fellowship.<br></span>","$36,850",,,,government
